Position,Country,Gold,Silver,Bronze,Total Medals,New_column
1,United States (USA),40,44,43,254,new_value
2,China (CHN),40,27,24,182,new_value
3,Japan (JPN),20,12,13,90,new_value
4,Australia (AUS),18,19,16,106,new_value
5,France (FRA),16,26,22,128,new_value
6,Netherlands (NED),15,7,12,68,new_value
7,United Kingdom (GBR),14,22,29,130,new_value
8,South Korea (KOR),13,9,10,64,new_value
9,Italy (ITA),12,13,15,80,new_value
10,Germany (GER),12,13,8,66,new_value
11,New Zealand (NZL),10,7,3,40,new_value
12,Canada (CAN),9,7,11,54,new_value
13,Uzbekistan (UZB),8,2,3,26,new_value
14,Hungary (HUN),6,7,6,38,new_value
15,Spain (ESP),5,4,9,36,new_value
16,Sweden (SWE),4,4,3,22,new_value
17,Kenya (KEN),4,2,5,22,new_value
18,Norway (NOR),4,1,3,16,new_value
19,Ireland (IRL),4,0,3,14,new_value
20,Brazil (BRA),3,7,10,40,new_value
21,Iran (IRI),3,6,3,24,new_value
22,Ukraine (UKR),3,5,4,24,new_value
23,Romania (ROU),3,4,2,18,new_value
24,Belgium (BEL),3,1,6,20,new_value
25,Bulgaria (BUL),3,1,3,14,new_value
26,Serbia (SRB),3,1,1,10,new_value
27,Czech Republic (CZE),3,0,2,10,new_value
28,Poland (POL),2,4,5,22,new_value
29,Georgia (GEO),2,3,1,12,new_value
30,Denmark (DEN),2,2,5,18,new_value
31,Azerbaijan (AZE),2,2,3,14,new_value
32,Croatia (CRO),2,2,3,14,new_value
33,Cuba (CUB),2,1,6,18,new_value
34,Bahrain (BRN),2,1,1,8,new_value
35,Slovenia (SLO),2,1,0,6,new_value
36,Chinese Taipei (TPE),2,0,5,14,new_value
37,Austria (AUT),2,0,3,10,new_value
38,Philippines (PHI),2,0,2,8,new_value
39,Hong Kong (HKG),2,0,2,8,new_value
40,Algeria (ALG),2,0,1,6,new_value
41,Indonesia (INA),2,0,1,6,new_value
42,Israel (ISR),1,5,1,14,new_value
43,Kazakhstan (KAZ),1,3,3,14,new_value
44,Jamaica (JAM),1,3,2,12,new_value
45,South Africa (RSA),1,3,2,12,new_value
46,Thailand (THA),1,3,2,12,new_value
47,Ethiopia (ETH),1,3,0,8,new_value
48,Switzerland (SUI),1,2,5,16,new_value
49,Ecuador (ECU),1,2,2,10,new_value
50,Portugal (POR),1,2,1,8,new_value
51,Greece (GRE),1,1,6,16,new_value
52,Argentina (ARG),1,1,1,6,new_value
53,Egypt (EGY),1,1,1,6,new_value
54,Tunisia (TUN),1,1,1,6,new_value
55,Botswana (BOT),1,1,0,4,new_value
56,Chile (CHI),1,1,0,4,new_value
57,Saint Lucia (LCA),1,1,0,4,new_value
58,Uganda (UGA),1,1,0,4,new_value
59,Dominican Republic (DOM),1,0,2,6,new_value
60,Guatemala (GUA),1,0,1,4,new_value
61,Morocco (MAR),1,0,1,4,new_value
62,Dominica (DMA),1,0,0,2,new_value
63,Pakistan (PAK),1,0,0,2,new_value
64,Turkey (TUR),0,3,5,16,new_value
65,Mexico (MEX),0,3,2,10,new_value
66,Armenia (ARM),0,3,1,8,new_value
67,Colombia (COL),0,3,1,8,new_value
68,North Korea (PRK),0,2,4,12,new_value
69,Kyrgyzstan (KGZ),0,2,4,12,new_value
70,Lithuania (LTU),0,2,2,8,new_value
71,India (IND),0,1,5,12,new_value
72,Moldova (MDA),0,1,3,8,new_value
73,Kosovo (KOS),0,1,1,4,new_value
74,Panama (PAN),0,1,1,4,new_value
75,Cyprus (CYP),0,1,0,2,new_value
76,Fiji (FIY),0,1,0,2,new_value
77,Mongolia (MGL),0,1,0,2,new_value
78,Tajikistan (TJK),0,0,3,6,new_value
79,Albania (ALB),0,0,2,4,new_value
80,Grenada (GRN),0,0,2,4,new_value
81,Malaysia (MAL),0,0,2,4,new_value
82,Puerto Rico (PUR),0,0,2,4,new_value
83,Refugee Olympic Team (EOR),0,0,1,2,new_value
84,Cape Verde (CPV),0,0,1,2,new_value
85,Qatar (QAT),0,0,1,2,new_value
86,Ivory Coast (CIV),0,0,1,2,new_value
87,Slovakia (SVK),0,0,1,2,new_value
88,Peru (PER),0,0,1,2,new_value
89,Singapore (SGP),0,0,1,2,new_value
90,Zambia (ZAM),0,0,1,2,new_value
